"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.276322400E0,2.071606517E-1,1.297616959E-1,2.967993617E-1,3.845042190E-1
1.295857816E0,3.434181213E-1,-1.137781143E-1,5.152264833E-1,6.295552355E-1
1.315393233E0,6.319837570E-1,-2.404966354E-1,5.726011395E-1,8.860666825E-1
1.334928702E0,6.832833886E-1,-7.278442383E-2,-9.637370706E-2,6.938743783E-1
1.354464119E0,2.557439804E-1,1.410331726E-1,-6.725490093E-2,2.996974491E-1
1.373999535E0,-3.010229468E-1,2.630748749E-1,-2.089971602E-1,4.511130870E-1
1.393534952E0,-7.179355621E-2,-7.227611542E-2,2.394039035E-1,2.601775943E-1
1.413070369E0,4.993762970E-1,-1.939487457E-1,4.065306783E-1,6.725027839E-1
1.432605785E0,1.187652349E-2,-1.278018951E-1,2.313862443E-1,2.646015311E-1
1.452141202E0,-5.186074972E-1,5.594062805E-2,-5.557389855E-1,7.621869259E-1
1.471676619E0,-3.899413943E-1,1.644172668E-1,-6.015394926E-1,7.354842553E-1
1.491212087E0,-9.840846062E-3,1.605701447E-1,-2.425169647E-1,2.910224936E-1
1.510747504E0,-4.248544872E-1,-4.094285965E-1,6.820918322E-1,9.018771415E-1
1.530282921E0,-1.440799236E-1,-2.265233994E-1,5.872947574E-1,6.457453112E-1
1.549818337E0,-5.836623907E-2,-1.513614655E-1,7.586896420E-3,1.624021924E-1
1.569353754E0,3.949820995E-2,2.045278549E-1,-4.086974263E-1,4.587214169E-1
1.588889171E0,1.575552225E-1,2.516078949E-2,1.210736632E-1,2.002886552E-1
1.608424587E0,-1.420814991E-1,-6.325721741E-2,3.970112205E-1,4.263877779E-1
1.627960004E0,-2.933708429E-1,-9.476184845E-2,1.560478210E-1,3.455389730E-1
1.647495473E0,2.801964283E-1,6.593513489E-2,-3.086762428E-1,4.220645725E-1
1.667030889E0,2.082247734E-1,1.391849518E-1,-1.901112497E-1,3.144396513E-1
1.686566306E0,-5.287414789E-1,-1.090879440E-1,1.769973636E-1,5.681512103E-1
1.706101723E0,-9.536173344E-1,-1.176385880E-1,1.206951439E-1,9.683967036E-1
1.725637139E0,-1.221943617E0,-9.199142456E-2,1.948710680E-1,1.240799483E0
1.745172556E0,-2.598003149E-1,-5.027389526E-2,4.678025842E-2,2.687230186E-1
1.764707973E0,-1.920216084E-1,3.241729736E-2,5.739251971E-1,6.060637847E-1
1.784243389E0,-1.077504873E0,-1.942186356E-1,4.946894050E-1,1.201438820E0
1.803778806E0,-1.079121351E0,-2.455806732E-2,-2.409845591E-2,1.079669730E0
1.823314223E0,-2.701948285E-1,4.046821594E-2,-4.775824547E-1,5.502071636E-1
1.842849639E0,-2.513600588E-1,2.965831757E-2,2.186775208E-2,2.540466365E-1
1.862385056E0,-6.152735949E-1,-3.065013885E-2,5.192203522E-1,8.056617166E-1
1.881920473E0,-3.024342060E-1,-1.042881012E-1,6.922242045E-2,3.273136119E-1
1.901455889E0,-3.433758020E-1,2.365112305E-4,-5.235186815E-1,6.260821090E-1
1.920991306E0,-6.072720885E-1,4.412012100E-1,3.913125992E-1,8.465007073E-1
1.940526723E0,-1.630639911E0,5.213623047E-1,1.261541486E0,2.126568149E0
1.960062139E0,-2.514293432E0,1.184321404E0,6.529729962E-1,2.854936494E0
1.979597556E0,-2.112051725E0,1.386810303E0,-1.821684986E-1,2.533217454E0
1.999132973E0,-1.474028468E0,2.148106575E0,-5.396360159E-1,2.660512885E0
2.018668389E0,-1.629409075E0,3.236458778E0,-1.159196258E0,3.804388955E0
2.038203806E0,-2.010971069E0,3.035636902E0,-1.580270052E0,3.969426845E0
2.057739223E0,-1.429077625E0,2.515351295E0,-1.023830891E0,3.068792057E0
2.077274639E0,-3.969459534E-1,1.746628761E0,-2.958663404E-1,1.815437967E0
2.096796462E0,1.121761799E-1,1.278046608E0,1.003813505E0,1.628996065E0
2.116345473E0,-2.804023504E0,1.687206268E0,1.179358721E0,3.478519771E0
2.135880941E0,-6.449548244E0,3.275909424E-1,-7.238845825E-1,6.498307262E0
2.155416358E0,-4.536472797E0,-2.724647522E-1,-3.079328835E-1,4.555068072E0
2.174951723E0,-4.425685883E0,-2.522439957E-1,-2.209101021E-1,4.438369502E0
2.194487139E0,-4.602458954E0,-1.008886337E0,1.606446505E-2,4.711765925E0
2.214022608E0,-4.240109444E0,-1.097723961E0,-5.330745876E-2,4.380224615E0
