"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.298073739E0,-1.020772934E0,-2.022342682E-1,3.955215216E-2,1.041364708E0
1.317997177E0,-9.843593240E-1,-1.116247177E-1,-1.218106747E-1,9.981288478E-1
1.337837958E0,-4.937703907E-1,-3.673267365E-2,-6.536483765E-3,4.951779617E-1
1.357370718E0,7.223202288E-2,2.575635910E-1,-3.362219334E-1,4.296529495E-1
1.376903531E0,-4.623580575E-1,2.354965210E-1,-6.588715911E-1,8.386568776E-1
1.396436291E0,-6.253046989E-1,3.729515076E-1,-7.972111702E-1,1.079650149E0
1.415969104E0,-4.544615746E-2,3.306474686E-1,-7.453322411E-1,8.166475686E-1
1.435501916E0,4.739518762E-1,2.037038803E-1,-7.183024883E-1,8.843551982E-1
1.455034677E0,8.286753297E-1,1.379489899E-1,-9.913806915E-1,1.299449268E0
1.474567489E0,1.250752926E0,3.667068481E-2,-7.530173659E-1,1.460398156E0
1.494100250E0,1.485302687E0,-2.374935150E-2,-6.501340270E-1,1.621530868E0
1.513633062E0,1.683618426E0,-8.277893066E-4,-6.089723110E-1,1.790368388E0
1.533165875E0,2.057773352E0,-1.909189224E-1,-9.701223373E-1,2.282984571E0
1.552698635E0,2.190757990E0,-7.771720886E-1,-1.062162638E0,2.555700783E0
1.572231447E0,2.594747066E0,-9.530172348E-1,-1.195123911E0,3.011523759E0
1.591764208E0,2.958180666E0,-7.441701889E-1,-1.183889389E0,3.272035484E0
1.611297020E0,3.587875128E0,-9.320487976E-1,-1.168633580E0,3.886806831E0
1.630829781E0,4.109908581E0,-8.533763885E-1,-1.081227779E0,4.334588021E0
1.650362593E0,3.522074938E0,-5.792140961E-1,-1.149266720E0,3.749841974E0
1.669895354E0,3.220980406E0,-3.426599503E-1,-1.007989287E0,3.392369824E0
1.689428166E0,3.755614519E0,-1.924695969E-1,-6.157111526E-1,3.810614804E0
1.708960979E0,3.583766937E0,3.350734711E-2,-5.095393658E-1,3.619963890E0
1.728493739E0,3.099868059E0,1.687011719E-1,-7.067933679E-1,3.183896816E0
1.748026552E0,2.800504684E0,5.449209213E-1,-7.815392017E-1,2.958136038E0
1.767559312E0,-2.615230799E0,3.457427025E0,-6.741288900E-1,4.387218199E0
1.787078479E0,-1.762830544E1,6.908304214E0,4.754995823E0,1.952157281E1
1.806624885E0,-6.971014023E0,-6.199684143E-1,-6.791218281E0,9.751925096E0
1.826157697E0,5.457942009E0,-1.169320107E0,-4.598772049E0,7.232229590E0
1.845676864E0,1.040480328E1,2.106352806E0,1.889235973E0,1.078266507E1
1.865223270E0,4.154860020E0,3.341770172E-1,1.417591453E0,4.402737965E0
1.884756031E0,-2.739025593E0,-5.098180771E-1,-3.730295897E-1,2.810929872E0
1.904288843E0,-1.357498050E0,1.878452301E-2,2.606149316E-1,1.382415985E0
1.923821604E0,1.308066130E0,-2.171840668E-1,5.437803268E-2,1.327088124E0
1.943354416E0,1.876676440E0,4.026203156E-1,2.667623162E-1,1.937828608E0
1.962887177E0,9.519433975E-1,3.929815292E-1,-1.523156464E-1,1.041071933E0
1.982419989E0,-9.876036644E-1,1.814842224E-2,-7.196455002E-1,1.222121111E0
2.001952750E0,-1.357710958E-1,1.969442368E-1,-2.060171068E-1,3.156958522E-1
2.021485562E0,1.287878752E0,6.265640259E-4,4.580257535E-1,1.366901482E0
2.041018322E0,4.280485213E-1,5.765628815E-2,2.821360230E-1,5.158977802E-1
2.060551135E0,-5.447427034E-1,6.698989868E-2,5.265788436E-1,7.606034039E-1
2.080083895E0,-1.782658994E-1,-1.808090210E-1,3.800444603E-1,4.570606358E-1
2.099616708E0,8.520309925E-1,8.516311646E-3,9.244316816E-2,8.570735552E-1
2.119149468E0,5.652439594E-1,9.501457214E-2,1.697941422E-1,5.977947418E-1
2.138682281E0,-2.229330838E-1,9.799003601E-3,3.913104534E-2,2.265533470E-1
2.158215041E0,-1.632816195E-1,-1.069879532E-1,1.273983121E-1,2.331043529E-1
2.177747802E0,-8.926361799E-3,-1.615066528E-1,5.886507630E-1,6.104701464E-1
2.197280614E0,-1.480888426E-1,-1.723814011E-1,2.091674209E-1,3.088635017E-1
2.216813375E0,1.489163637E-1,-7.674884796E-2,8.233204484E-1,8.401922576E-1
2.236346187E0,3.032732606E-1,-3.144407272E-1,1.335880280E0,1.405497692E0
2.255865354E0,9.270375967E-2,-3.707180023E-1,3.875529170E-1,5.442638035E-1
2.275411708E0,-1.130516768E0,3.594350815E-1,-1.246788740E0,1.720971790E0
2.294944520E0,-1.230360508E0,3.138780594E-1,-9.657722712E-1,1.595312664E0
2.314477281E0,1.982282400E-1,-1.259422302E-2,-4.519509077E-1,4.936726370E-1
2.334010041E0,-1.520253420E-1,-4.319286346E-2,2.869160175E-1,3.275639314E-1
2.353542854E0,-8.155712485E-1,-8.914375305E-2,-4.825198650E-2,8.218462900E-1
2.373075614E0,-4.279921651E-1,2.570362091E-1,-3.985883892E-1,6.388408332E-1
2.392608375E0,-6.888830662E-2,2.462882996E-1,-6.697018743E-1,7.168710663E-1
2.412141187E0,-6.142210364E-1,1.323356628E-1,-4.403166175E-1,7.672411178E-1
2.431673947E0,-9.566411376E-1,5.575466156E-2,2.020597458E-5,9.582644984E-1
2.451206708E0,-9.626572132E-1,7.657051086E-2,6.561642289E-1,1.167528778E0
2.470739468E0,-9.352769852E-1,8.450126648E-2,6.497849226E-1,1.141973708E0
2.490272281E0,-8.487582207E-1,6.551170349E-2,1.685334444E-1,8.678051753E-1
2.509805041E0,-8.437788486E-1,1.114950180E-1,-3.949236870E-2,8.520290674E-1
2.529337802E0,-9.156804085E-1,7.094259262E-1,3.209057450E-1,1.201971818E0
2.548870614E0,-1.118693590E0,1.417448997E0,2.996229529E-1,1.830412774E0
2.568403375E0,-1.425756216E0,1.727895737E0,-3.999702334E-1,2.275605557E0
2.587936135E0,-1.665157914E0,1.850850105E0,-7.404578924E-1,2.597436213E0
2.607468895E0,-1.333039761E0,1.811812401E0,-5.424596667E-1,2.313854289E0
2.627001708E0,-1.404386759E0,2.282706261E0,2.501892745E-1,2.691773526E0
2.646534468E0,-2.279687405E0,2.922455788E0,3.871739805E-1,3.726610549E0
2.666067229E0,-3.222022057E0,2.140564919E0,3.033650294E-2,3.868380101E0
2.685599989E0,-2.211893797E0,2.608180046E0,-6.789301336E-2,3.420480490E0
2.705132802E0,-3.181428909E0,3.556198120E0,-8.438082337E-1,4.845621458E0
2.724651968E0,-4.382043362E0,3.886877060E0,-1.396127462E0,6.021568666E0
2.744198322E0,-4.941689014E0,3.680827141E0,-1.593467355E0,6.364583016E0
2.763731083E0,-5.862498283E0,3.451192379E0,-1.115733147E0,6.893799781E0
2.783250250E0,-3.124265432E0,3.332328796E0,-4.134362340E-1,4.586543276E0
2.802796656E0,1.855165958E0,4.658352375E0,2.496611834E0,5.601335397E0
2.822329416E0,4.746198654E-2,4.145509243E0,2.101070404E0,4.647794785E0
2.841848583E0,-2.644776821E0,2.857652187E0,1.402704477E0,4.138671322E0
2.861394937E0,-1.818243504E0,2.208435535E0,1.427923918E0,3.197211858E0
2.880927697E0,-1.049750328E0,1.759143829E0,5.415024757E-1,2.118911913E0
2.900446864E0,-1.593735695E0,1.398072720E0,1.182024598E0,2.427299517E0
2.919993270E0,-3.547055244E0,1.010838032E0,2.223472834E0,4.306649031E0
2.939526031E0,-5.107972145E0,1.471165180E0,1.510044336E0,5.525933434E0
2.959045197E0,-4.362317085E0,1.433625221E-1,3.322814107E-1,4.377302149E0
2.978591552E0,-3.973897457E0,-1.699777603E0,-2.211220860E-1,4.327816987E0
2.998124312E0,-5.327130795E0,-1.213595867E0,6.090131402E-1,5.497457088E0
3.017643479E0,-5.958819866E0,-1.143604279E0,-3.831416368E-2,6.067687609E0
3.037189833E0,-5.948693752E0,-1.372620106E0,-3.210860789E-1,6.113439260E0
3.056722645E0,-5.244181633E0,-1.510137081E0,2.232117355E-1,5.461847534E0
3.076241760E0,-4.578507423E0,-7.740588188E-1,-6.147800684E-1,4.683999553E0
3.095788166E0,-3.883197784E0,-1.824922562E-1,-8.175835609E-1,3.972527072E0
3.115320927E0,-3.233587027E0,-3.865299225E-1,2.718328834E-1,3.267932612E0
3.134840093E0,-2.123498440E0,-4.229736328E-2,2.212046087E-2,2.124034841E0
3.154386447E0,-1.184929132E0,9.578685760E-1,2.133270651E-1,1.538531018E0
3.173919208E0,-5.153243542E-1,1.695688248E0,5.163493752E-1,1.845950839E0
3.193438375E0,2.310214043E-1,2.320283890E0,7.107121944E-1,2.437662824E0
3.212984729E0,1.775635004E0,2.782501221E0,4.729321003E-1,3.334495087E0
3.232517489E0,2.729722977E0,3.191227913E0,9.873282909E-2,4.200603682E0
3.252060326E0,3.862405777E0,3.496239662E0,-3.868867159E-1,5.224131650E0
3.271593086E0,5.530466557E0,3.712318420E0,-6.028450727E-1,6.688108146E0
3.291125846E0,5.842040062E0,4.236961365E0,-7.312275171E-1,7.253686468E0
3.310654705E0,6.294144630E0,4.262374878E0,-1.126611948E0,7.684617799E0
3.330187465E0,5.835514545E0,3.088531494E0,-1.297052860E0,6.728640496E0
3.349720226E0,5.778305054E0,2.796477318E0,-1.244167686E0,6.538887360E0
3.369239340E0,6.409045219E0,2.050992012E0,-2.010096073E0,7.023027487E0
3.388785747E0,7.605323792E0,-2.500762939E-1,-1.535801649E0,7.762871558E0
3.408318507E0,1.026675224E1,-1.344092369E0,-2.087231636E0,1.056263801E1
3.427851267E0,1.046145439E1,-1.031094074E0,-9.419428110E-1,1.055426166E1
3.447384028E0,8.380825043E0,-6.402969360E-2,-1.515672684E0,8.517017781E0
3.466916788E0,7.239071846E0,2.097702026E-2,-3.398387671E0,7.997101974E0
3.486435903E0,6.973118782E0,-1.790218353E-1,-3.761379480E0,7.924923341E0
3.505982309E0,3.828622341E0,1.369214058E0,-4.578963757E0,6.123724786E0
3.525515069E0,-1.903176117E1,1.157074928E1,1.353405380E1,2.606263196E1
3.545034236E0,-1.511747074E1,2.885478973E0,-1.377194595E1,2.065261257E1
3.564580590E0,3.656004906E0,-3.252395630E0,-6.356338978E0,8.021688999E0
3.584113351E0,1.490679550E1,2.915594101E0,3.006564140E0,1.548394875E1
3.603632517E0,8.881752014E0,7.333602905E-1,-8.972346187E-1,8.957028867E0
3.623178872E0,-1.404419899E0,-1.680888176E0,7.735816240E-1,2.322974137E0
3.642711632E0,-4.404252768E-1,1.091680527E0,-3.635824323E-1,1.232044229E0
3.662244392E0,4.689179063E-1,9.593477249E-1,-1.022277594E0,1.478270455E0
3.681777153E0,2.393018603E-1,-1.642217636E-1,-1.762274504E-1,3.395442273E-1
3.701309913E0,2.004043102E0,1.181650162E-1,9.422519803E-1,2.217654284E0
3.720842674E0,1.007986903E0,-3.937292099E-1,1.049850702E0,1.507729016E0
3.740375434E0,5.147777200E-1,1.576566696E-1,-2.606533766E-1,5.981570941E-1
3.759908194E0,8.898547888E-1,2.224683762E-1,-1.055842638E-1,9.232993882E-1
3.779440955E0,4.507919848E-1,5.953788757E-3,5.781092644E-1,7.331160772E-1
3.798973715E0,2.485152781E-1,-2.050819397E-1,5.659663677E-1,6.512575334E-1
3.818506476E0,4.985553026E-1,-6.130218506E-2,4.835141301E-1,6.972096254E-1
3.838039236E0,7.735147476E-1,-5.252265930E-2,2.767061591E-1,8.231949909E-1
3.857571997E0,3.556445241E-1,-8.168220520E-3,-4.530819952E-1,5.760495133E-1
3.877104757E0,-4.325212538E-2,7.892227173E-2,-3.797680140E-2,9.768167059E-2
3.896637517E0,-7.767958641E-1,-7.788181305E-2,7.364690304E-1,1.073249283E0
3.916170278E0,-6.746994257E-1,-2.186508179E-1,2.052416801E-1,7.383438511E-1
3.935703038E0,-3.900766373E-3,-9.494495392E-2,7.874280810E-1,7.931410613E-1
3.955235799E0,7.100263238E-2,-2.157106400E-1,9.212769866E-1,9.488539087E-1
3.974768507E0,-1.177187860E-1,-1.763811111E-1,1.211150169E0,1.229574212E0
3.994301267E0,-5.692526698E-2,-3.585138321E-1,1.218327999E0,1.271257553E0
4.013834028E0,-2.271975279E-1,-4.637689590E-1,1.295660734E-1,5.324356594E-1
4.033366788E0,-4.926986098E-1,2.257833481E-1,-1.074597239E0,1.203531997E0
4.052899549E0,-8.018557429E-1,5.993461609E-1,-1.860569000E0,2.112795650E0
4.072432309E0,-1.236026049E0,3.764991760E-1,-1.343927503E0,1.864310370E0
4.091965069E0,-1.633362651E0,-1.265850067E-1,-3.371071517E-1,1.672584391E0
4.111497830E0,-1.488823175E0,-3.327322006E-1,7.538909912E-1,1.701662949E0
4.131030538E0,-6.735953093E-1,-1.572942734E-1,3.545070291E-1,7.772691701E-1
4.150563299E0,1.011710167E-1,6.306171417E-2,-3.157184720E-1,3.374766777E-1
4.170096059E0,-2.894639969E-3,2.223577499E-1,-3.574835658E-1,4.210057573E-1
4.189628819E0,-7.354563475E-1,2.047986984E-1,5.565273762E-2,7.654644166E-1
4.209161528E0,-7.691848278E-1,4.266061783E-1,-1.401657760E-1,8.906652432E-1
4.228694288E0,-1.629389882E0,1.410093307E-1,5.215770006E-2,1.636311537E0
4.248227049E0,-1.774205208E0,3.640089035E-1,5.409601927E-1,1.890223408E0
