"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.280780519E0,-1.183399916E0,2.122602463E-1,-5.236740112E-1,1.311382569E0
1.300706873E0,-3.087940216E-1,-2.246360779E-1,-1.826379299E-1,4.232868161E-1
1.320633175E0,1.082276702E-1,-1.480741501E-1,-8.836960793E-2,2.035887279E-1
1.340559529E0,2.114274800E-1,5.713939667E-2,-3.070389628E-1,3.771464101E-1
1.360485831E0,8.457905054E-2,-1.125125885E-1,-5.390010476E-1,5.570770393E-1
1.380412186E0,1.982497722E-1,-1.520709991E-1,-6.708211303E-1,7.158418469E-1
1.399963331E0,1.045809627E0,-1.758260727E-1,-6.644079685E-1,1.251427398E0
1.419499061E0,1.827432036E0,-2.161531448E-1,-2.839981914E-1,1.861957304E0
1.439034738E0,1.983745694E0,-4.101467133E-1,7.999008894E-2,2.027280375E0
1.458570467E0,1.849565387E0,-3.413991928E-1,-1.295151114E-1,1.885263826E0
1.478106144E0,1.476025462E0,-3.110685349E-1,-3.477313519E-1,1.548009009E0
1.497641821E0,1.122260451E0,-4.059638977E-1,-3.661092520E-1,1.248323352E0
1.517177550E0,9.304155111E-1,-3.920202255E-1,-5.454100370E-1,1.147529951E0
1.536713227E0,8.829071522E-1,-3.070621490E-1,-3.202589750E-1,9.881184210E-1
1.556248956E0,1.356703043E0,-2.394227982E-1,-3.032382131E-1,1.410645185E0
1.575784634E0,2.039578915E0,8.729934692E-3,2.443605661E-2,2.039743975E0
1.595320363E0,1.680996418E0,-1.497278214E-1,3.513648808E-1,1.723840090E0
1.614856040E0,8.065913320E-1,-4.596614838E-1,-1.400269270E-1,9.388747503E-1
1.634391769E0,5.835829377E-1,-4.283161163E-1,-6.628410816E-1,9.815202699E-1
1.653927446E0,1.217177987E0,-6.612968445E-2,-5.037647486E-1,1.318967137E0
1.673463123E0,1.749316216E0,-1.187324524E-1,-3.451076150E-1,1.786981780E0
1.692998852E0,2.691433907E0,-1.348514557E-1,-3.854533434E-1,2.722237254E0
1.712534529E0,3.614463329E0,2.214193344E-1,-5.358627439E-2,3.621635427E0
1.732070259E0,2.539265633E0,5.871906281E-1,3.552864194E-1,2.630378533E0
1.751605936E0,-4.221887589E-1,5.030984879E-1,7.004767656E-2,6.604983827E-1
1.771141613E0,-2.751247883E0,4.935798645E-1,-6.168774366E-1,2.862433190E0
1.790677342E0,-2.376048565E0,3.885116577E-1,-9.516506195E-1,2.588858241E0
1.810213019E0,-1.112402678E-1,2.530879974E-1,-1.124473810E0,1.157959102E0
1.829748696E0,1.208612919E0,1.716718674E-1,-4.940374792E-1,1.316924238E0
1.849284425E0,1.136810303E0,-3.086576462E-1,9.254470468E-3,1.178003757E0
1.868820102E0,7.181457877E-1,-3.532485962E-1,4.573123157E-2,8.016291466E-1
1.888355831E0,-7.939222455E-2,-2.065744400E-1,9.016200304E-1,9.283828972E-1
1.907891509E0,-1.162324667E0,-4.752264023E-1,3.041974008E-1,1.292042888E0
1.927427186E0,-7.560268044E-1,-2.362632751E-2,-7.247973680E-1,1.047600094E0
1.946962915E0,5.975669622E-1,1.111901283E0,4.783780873E-1,1.349909750E0
1.966498592E0,6.178508997E-1,2.971630096E-1,1.274538189E-1,6.973450111E-1
1.986034269E0,-6.581882238E-1,1.890382767E-1,-3.972396255E-1,7.916732458E-1
2.005569998E0,-6.741004586E-1,5.325832367E-1,-5.499605536E-1,1.020055363E0
2.025092081E0,9.004029036E-1,3.036193848E-1,7.518485188E-2,9.531856490E-1
2.044641352E0,1.686005831E0,3.491687775E-2,2.495053709E-1,1.704725133E0
2.064177029E0,7.800610065E-1,1.434812546E-1,8.326971531E-2,7.975060438E-1
2.083712759E0,2.064720988E-1,8.002090454E-2,-2.377774119E-1,3.249187135E-1
2.103248436E0,1.417351961E-1,-3.524017334E-2,-5.557242036E-2,1.562658937E-1
2.122784113E0,-2.373063564E-2,1.984882355E-2,1.889528930E-1,1.914688347E-1
2.142319842E0,-1.350429058E-1,-1.754617691E-1,3.663320839E-1,4.280451081E-1
2.161855519E0,-3.444046676E-1,-2.393312454E-1,3.138514757E-1,5.238289501E-1
2.181391196E0,-5.485923886E-1,-6.360435486E-2,2.766430974E-1,6.176815734E-1
2.200926873E0,-6.907200217E-1,-8.818912506E-2,2.143477798E-1,7.285715070E-1
2.220462602E0,-7.130879760E-1,-1.661338806E-1,4.872170091E-1,8.794744690E-1
2.239998279E0,-8.374932408E-1,-2.141380310E-1,8.199508190E-1,1.191456827E0
2.259533956E0,-7.048956752E-1,-3.041830063E-1,9.449745417E-1,1.217531149E0
2.279069686E0,-2.950953245E-1,-2.111606598E-1,4.659014940E-1,5.905372782E-1
2.298605363E0,-4.401891232E-1,4.876995087E-2,-4.126077890E-2,4.448004318E-1
2.318141040E0,-6.614321470E-1,1.080141068E-1,-3.456227183E-1,7.540653790E-1
2.337676717E0,-3.646832108E-1,1.579570770E-1,-3.287225068E-1,5.157545627E-1
2.357212394E0,-1.359908581E-1,6.179141998E-2,-8.055618405E-2,1.697085497E-1
2.376748123E0,4.425394535E-2,2.393054962E-2,2.282747626E-2,5.524650719E-2
2.396283800E0,-1.107904911E-1,1.082239151E-1,-1.013718992E-1,1.851032433E-1
