"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.457512417E0,7.759124041E-3,5.580101013E-1,-3.316884041E-1,6.491938652E-1
1.477041271E0,1.674802750E-1,2.507457733E-1,-2.451883554E-1,3.886391836E-1
1.496570178E0,7.917344570E-3,4.220390320E-2,-2.743579745E-1,2.776979510E-1
1.516099032E0,2.332152724E-1,-1.085300446E-1,-9.147238731E-2,2.730115959E-1
1.535627938E0,8.496273756E-1,-2.140321732E-1,-5.837714672E-2,8.781140813E-1
1.555156792E0,9.233761430E-1,-2.751665115E-1,-3.870240450E-1,1.038329294E0
1.574685698E0,6.617724895E-1,-4.316320419E-1,-4.257503748E-1,8.975034424E-1
1.594214553E0,1.158921003E0,-1.430358887E-1,-4.753587246E-1,1.260762894E0
1.613743407E0,1.654612064E0,-1.492404938E-2,-6.030341387E-1,1.761139967E0
1.633272313E0,2.408501148E0,-3.694572449E-1,-8.788545728E-1,2.590320790E0
1.652801167E0,3.397015572E0,-3.730268478E-1,-1.120282531E0,3.596372724E0
1.672330073E0,3.505494595E0,-4.013404846E-1,-1.065732718E0,3.685831353E0
1.691858928E0,3.427937031E0,-2.303495407E-1,-7.402837276E-1,3.514517491E0
1.711387782E0,3.760124922E0,-3.011331558E-1,-5.442400575E-1,3.811222618E0
1.730916688E0,4.256488800E0,-4.927606583E-1,-9.890027344E-2,4.286057773E0
1.750445542E0,4.729183674E0,-8.267354965E-1,-1.859590113E-1,4.804503154E0
1.769974448E0,5.186310768E0,-6.068058014E-1,5.597541332E-1,5.251605217E0
1.789503303E0,8.349059224E-1,4.862586021E0,6.846595407E-1,4.981020920E0
1.809018563E0,-1.113608360E1,6.423027992E0,4.613205910E0,1.365830573E1
1.828561063E0,3.479420185E0,2.868675232E0,-6.160136700E0,7.634326858E0
1.848089969E0,5.834645271E0,-3.385277271E0,-2.650844097E0,7.247769455E0
1.867605230E0,8.964924216E-1,1.288764000E0,1.133829594E0,1.936538370E0
1.887147678E0,-3.169290066E0,-6.492986679E-1,1.195599079E0,3.448977448E0
1.906676584E0,-6.602417231E-1,-1.339363098E0,1.646980762E0,2.223141532E0
1.926191844E0,9.481718540E-1,2.246580124E-1,5.015815496E-1,1.095940299E0
1.945734344E0,1.327467442E0,4.195556641E-1,-4.362320304E-1,1.458936307E0
1.965263198E0,1.309858084E0,3.118991852E-1,2.405177355E-1,1.367793143E0
1.984792105E0,-1.931943595E-1,-1.455135345E-1,8.921307325E-1,9.243351628E-1
2.004320959E0,-1.095488429E0,-1.337394714E-1,7.612066865E-1,1.340677726E0
2.023849865E0,-9.725122452E-1,8.095645905E-2,1.361277103E-1,9.853247022E-1
2.043378719E0,-3.984226882E-1,2.256326675E-1,1.076864600E-1,4.703691240E-1
2.062907626E0,-9.165055752E-1,2.078056335E-3,1.171361208E-1,9.239630179E-1
