"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.261704024E0,-2.755643129E-1,3.458118439E-2,-7.182245255E-1,7.700506593E-1
1.281240378E0,1.581150293E-2,-2.875804901E-2,-9.421321750E-2,9.976552190E-2
1.300776784E0,-8.638006449E-2,-4.250717163E-2,5.903306603E-2,1.129304125E-1
1.320313138E0,-5.852512717E-1,-8.470439911E-2,-3.691277206E-1,6.971005382E-1
1.339849545E0,-1.010718346E-1,-1.739883423E-2,-1.703050584E-1,1.988015294E-1
1.359385899E0,1.869370639E-1,-2.229118347E-2,1.617180705E-1,2.481835955E-1
1.378922305E0,-1.529957503E-1,-5.770492554E-2,5.202853680E-2,1.715940753E-1
1.398458711E0,-3.453318179E-1,-2.665328979E-2,-9.558689594E-2,3.593067171E-1
1.417995065E0,-7.397136092E-1,-7.947444916E-2,9.111943841E-2,7.495299619E-1
1.437531472E0,-7.471165061E-1,-1.396665573E-1,1.222748458E-1,7.698317731E-1
1.457067826E0,-3.497207761E-1,-1.299219131E-1,2.342309356E-1,4.405093142E-1
1.476604232E0,-7.121958733E-1,-4.986000061E-2,1.446670592E-1,7.284487213E-1
1.496140586E0,-9.662145376E-1,-1.818752289E-2,-2.589038014E-1,1.000466140E0
1.515676940E0,-2.398533225E-1,2.453041077E-2,2.287505269E-1,3.323524649E-1
1.535213347E0,-7.335677147E-1,3.394126892E-2,-1.875967532E-1,7.579354482E-1
1.554749701E0,-1.531233668E0,3.026962280E-3,-5.526252389E-1,1.627906743E0
1.574286107E0,-3.162091374E-1,4.566707611E-1,3.150343895E-3,5.554694657E-1
1.593822461E0,-3.441376686E-1,3.859119415E-1,2.121299207E-1,5.588898504E-1
1.613358868E0,-6.163890958E-1,4.433288574E-1,6.123125553E-3,7.592848516E-1
1.632895222E0,-5.570173264E-2,7.509784698E-1,-3.433536887E-1,8.276249759E-1
1.652431628E0,5.167771578E-1,1.000530243E0,-3.341510594E-1,1.174638808E0
1.671967982E0,-1.180584431E0,9.920396805E-1,3.605833650E-2,1.542472862E0
1.691504336E0,-1.138493299E0,1.171026230E0,-2.528828382E-1,1.652700564E0
1.711040743E0,-1.137318373E0,9.844446182E-1,-3.632558584E-1,1.547442763E0
1.730577097E0,-8.593536615E-1,1.452990532E0,-8.484894037E-1,1.889339691E0
1.750113451E0,-8.419878483E-1,1.779414177E0,-7.616748810E-1,2.110783498E0
1.769649857E0,-1.168416023E0,1.747413635E0,-4.379291236E-1,2.147191732E0
1.789186211E0,-2.325530291E0,2.401212692E0,8.684396744E-4,3.342740534E0
1.808805690E0,-4.231082439E0,2.841001511E0,-2.818715870E-1,5.104194333E0
1.828718815E0,-5.683612347E0,4.378592491E0,-5.101751685E-1,7.192760264E0
1.848659701E0,-6.719098091E0,4.018796921E0,-2.353212833E-1,7.832776261E0
1.868586680E0,-5.341322422E0,2.556044579E0,9.479879141E-1,5.996813336E0
1.888499805E0,-2.138074875E0,3.037539482E0,1.399228096E0,3.969363871E0
1.908440690E0,-1.668338776E-1,3.591705322E0,1.453315616E0,3.878183459E0
1.928367670E0,-2.659650564E0,4.209202766E0,1.871587753E0,5.319207626E0
1.948280795E0,-4.356061935E0,3.173531055E0,-5.469379425E-1,5.417168639E0
1.968221680E0,-8.820990562E0,1.052148342E0,-1.283829808E0,8.975806906E0
1.988148659E0,-8.507225990E0,-1.450593472E0,-2.104018688E0,8.882792923E0
2.008061784E0,-5.071863174E0,-6.245651245E-1,-5.516961217E-1,5.139868312E0
2.028002618E0,-3.507513046E0,-3.064179420E-1,1.353436708E-1,3.523472383E0
2.047929649E0,-3.550547600E0,-7.823801041E-1,7.871904373E-1,3.719969848E0
2.067565847E0,-5.800162315E0,-1.340677738E0,-1.974510700E-1,5.956365218E0
2.087115847E0,-6.064888000E0,-1.706704140E0,-3.418794870E-1,6.309721631E0
2.106652201E0,-4.824662209E0,-1.460977554E0,-9.842756391E-2,5.041974695E0
2.126188555E0,-3.749197006E0,-1.138049126E0,-7.397614419E-2,3.918814422E0
2.145724961E0,-2.806262493E0,-6.684141159E-1,-2.063794434E-1,2.892140917E0
2.165261315E0,-1.301173210E0,-2.067184448E-1,-2.074185014E-1,1.333719113E0
2.184784076E0,2.221825123E-1,3.551282883E-1,9.221690893E-2,4.289348764E-1
2.204334024E0,1.062614679E0,6.807098389E-1,-2.114677578E-1,1.279544628E0
2.223870378E0,1.242644548E0,1.003625870E0,-4.916573167E-1,1.671274148E0
2.243406732E0,1.591624260E0,1.265322685E0,1.953790933E-1,2.042665482E0
2.262943138E0,2.219080448E0,1.502668381E0,5.838072300E-1,2.742838161E0
2.282479493E0,1.693017244E0,2.743433952E0,-1.762729883E-1,3.228592481E0
2.302002253E0,1.491531253E0,5.379390717E0,-1.569050550E-2,5.582361163E0
2.321552201E0,4.174570084E0,5.750433922E0,-3.615331650E-2,7.106041988E0
2.341088555E0,6.907213688E0,4.144723892E0,2.710541189E-1,8.059888796E0
2.360611315E0,9.394453049E0,3.103586197E0,4.639331102E-1,9.904707431E0
2.380161263E0,1.116506290E1,1.876066208E0,-7.369238138E-2,1.132182338E1
2.399697618E0,1.195964622E1,2.512598038E-1,1.041803718E0,1.200756529E1
2.419233972E0,1.139246750E1,1.408910751E-1,1.984648705E0,1.156490365E1
2.438770326E0,1.059479237E1,1.796504021E0,1.609850883E0,1.086594091E1
2.458306680E0,9.653371811E0,1.912591934E0,2.042249680E0,1.005069047E1
2.477829440E0,6.290636063E0,2.539775848E0,-1.090606451E0,6.871097864E0
2.497379388E0,-1.406135082E0,3.716112137E0,-1.051584148E1,1.124142462E1
2.516915795E0,-1.275415897E1,4.138449669E0,2.993211269E0,1.373880091E1
2.536438503E0,7.864345551E0,5.369840622E0,3.272248030E0,1.006929622E1
2.555988503E0,9.644229889E0,2.681071281E0,-2.847422361E0,1.040707103E1
2.575524857E0,-3.965472698E0,-1.391732216E0,3.536939144E0,5.492889111E0
2.595047618E0,-1.675920963E0,-9.464616776E-1,-1.428681254E0,2.397004570E0
2.614597565E0,1.023782730E0,7.752437592E-1,5.923224688E-1,1.414206446E0
2.634141046E0,-4.646841288E-1,2.776527405E-2,-2.691501379E-2,4.662903258E-1
2.653677400E0,-7.727904320E-1,-2.595233917E-2,-1.716624647E-1,7.920521305E-1
2.673213754E0,-4.831819534E-1,2.630043030E-1,1.031267166E0,1.168823353E0
2.692748966E0,-1.296773911E0,1.877832413E-1,1.928398609E-1,1.324413958E0
2.712285320E0,-2.010313749E0,4.868221283E-2,2.220773697E-2,2.011025736E0
2.731821674E0,-8.521099091E-1,1.783370972E-4,4.632181525E-1,9.698775107E-1
2.751358029E0,-7.667511702E-2,9.117317200E-2,1.802495122E-1,2.160590371E-1
2.770894331E0,-9.761528671E-2,1.559772491E-1,-1.859424263E-1,2.615955511E-1
2.790430685E0,3.313961923E-1,7.438182831E-2,-1.143518388E-1,3.583747141E-1
2.809967039E0,5.400686860E-1,8.599185944E-2,-6.233263016E-2,5.504127018E-1
2.829503393E0,8.658427000E-2,-7.795715332E-2,-4.748761654E-3,1.166049069E-1
2.849039747E0,4.091266394E-1,-2.290792465E-1,5.282841921E-1,7.063611653E-1
2.868576102E0,5.116677284E-1,-5.199718475E-1,4.609393477E-1,8.629250656E-1
2.888112456E0,2.681157589E-1,-5.789442062E-1,2.582373619E-1,6.882942606E-1
